Company,Memory_Structure_Categories,Gpu_Type,Gpu_Company,OpSys,Cpu_Company,Inches,CPU_Frequency_Numeric,Ram_Numeric,Size_Numeric,Weight_Numeric,Price_dollars
Asus,Hybrid,GeForce GTX 1080,Nvidia,Windows 10,Intel,17.3,2.9,32,512,4.7,4279
Lenovo,Hybrid,GeForce GTX 980M,Nvidia,Windows 10,Intel,17.3,2.7,32,512,4.6,3564
Lenovo,Hybrid,GeForce GTX 980M,Nvidia,Windows 10,Intel,17.3,2.7,16,256,4.6,3025
Lenovo,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.7,32,256,4.6,2929
Lenovo,Hybrid,GeForce GTX 980M,Nvidia,Windows 10,Intel,17.3,2.6,16,128,4.6,2519
MSI,Hybrid,GeForce GTX 980M,Nvidia,Windows 10,Intel,17.3,2.7,16,128,4.5,2584
Dell,Hybrid,GeForce GTX 1070M,Nvidia,Windows 10,Intel,17.3,2.8,32,1000,4.42,3948
Dell,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,32,256,4.42,3464
Dell,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,32,512,4.42,3462
Dell,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,32,512,4.42,3380
Dell,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,16,128,4.42,3314
Dell,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,15.6,2.8,16,256,4.42,3156
Dell,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.6,32,256,4.42,3080
Dell,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.9,16,256,4.42,3079
Dell,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,16,256,4.42,2969
Dell,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.8,16,256,4.42,2702
Dell,HDD,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.7,8,1000,4.42,2251
MSI,Hybrid,GTX 980 SLI,Nvidia,Windows 10,Intel,18.4,2.9,32,512,4.4,3079
Dell,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,32,1000,4.36,4025
Dell,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,16,512,4.36,3469
Dell,Hybrid,GeForce GTX 1080,Nvidia,Windows 10,Intel,17.3,2.7,16,512,4.36,3034
Dell,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.8,16,128,4.36,2756
Asus,Hybrid,GeForce GTX 965M,Nvidia,Windows 10,Intel,17.3,2.6,24,256,4.33,1396
Asus,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.6,16,256,4.3,2585
Asus,Hybrid,GeForce GTX 980M,Nvidia,Windows 10,Intel,17.3,2.6,16,128,4.3,2529
Asus,Hybrid,GeForce GTX 980M,Nvidia,Windows 10,Intel,17.3,2.6,16,512,4.3,2365
Asus,Hybrid,GeForce GTX 980M,Nvidia,Windows 10,Intel,17.3,2.8,16,256,4.3,1979
Acer,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,16,256,4.2,2859
Acer,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.8,16,256,4.2,2529
Acer,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.6,16,128,4.2,2129
MSI,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.9,16,512,4.14,3002
MSI,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,16,512,4.14,2749
MSI,Hybrid,GeForce GTX 970M,Nvidia,Windows 10,Intel,17.3,2.7,16,128,4.14,2419
Asus,Hybrid,GeForce GTX 970M,Nvidia,Windows 10,Intel,17.3,2.6,16,128,4,2090
Asus,HDD,GeForce GTX 965M,Nvidia,No OS,Intel,17.3,2.6,16,1000,4,1098
Asus,SSD,GeForce GTX 1080,Nvidia,Windows 10,Intel,17.3,2.7,32,512,3.8,3079
MSI,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,16,256,3.78,2749
