Inches,CPU_Frequency_Numeric,Ram_Numeric,Size_Numeric,Weight_Numeric,Log_Price_dollars,Company_Acer,Company_Apple,Company_Asus,Company_Chuwi,Company_Dell,Company_Fujitsu,Company_Google,Company_HP,Company_Huawei,Company_LG,Company_Lenovo,Company_MSI,Company_Mediacom,Company_Microsoft,Company_Razer,Company_Samsung,Company_Toshiba,Company_Vero,Company_Xiaomi,Cpu_Company_AMD,Cpu_Company_Intel,Memory_Structure_Categories_Flash,Memory_Structure_Categories_HDD,Memory_Structure_Categories_Hybrid,Memory_Structure_Categories_SSD,Gpu_Company_AMD,Gpu_Company_Intel,Gpu_Company_Nvidia,OpSys_Android,OpSys_Chrome OS,OpSys_Linux,OpSys_Mac OS X,OpSys_No OS,OpSys_Windows 10,OpSys_Windows 10 S,OpSys_Windows 7,OpSys_macOS,Actual_LR,Predicted_LR,pctDiff_LR,Diff_LR,Actual_RF,Predicted_RF,pctDiff_RF,Diff_RF,Actual_NN,Predicted_NN,pctDiff_NN,Diff_NN
17.3,2.8,32,1000,4.42,8.280964400553373,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3948.0,4805.0,22.0,857.0,3948.0,3636.0,8.0,-312.0,3948.0,3547.0,10.0,-401.0
17.3,2.8,32,512,4.42,8.149601735736155,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3462.0,4509.0,30.0,1047.0,3462.0,3414.0,1.0,-48.0,3462.0,3520.0,2.0,58.0
17.3,2.6,32,256,4.42,8.03268487596762,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3080.0,4123.0,34.0,1043.0,3080.0,3016.0,2.0,-64.0,3080.0,2782.0,10.0,-298.0
17.3,2.8,16,512,4.36,8.15162164696975,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3469.0,2191.0,37.0,-1278.0,3469.0,2930.0,16.0,-539.0,3469.0,2607.0,25.0,-862.0
17.3,2.8,16,256,4.2,7.958227192322312,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2859.0,1552.0,46.0,-1307.0,2859.0,2366.0,17.0,-493.0,2859.0,2164.0,24.0,-695.0
17.3,2.6,16,1000,4.0,7.001245622069476,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1098.0,909.0,17.0,-189.0,1098.0,2130.0,94.0,1032.0,1098.0,1112.0,1.0,14.0
17.3,2.7,32,512,3.8,8.0323601479245,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,3079.0,3729.0,21.0,650.0,3079.0,2500.0,19.0,-579.0,3079.0,3392.0,10.0,313.0
17.3,2.8,12,1000,3.74,7.562161631225652,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1924.0,1030.0,46.0,-894.0,1924.0,1677.0,13.0,-247.0,1924.0,1032.0,46.0,-892.0
17.3,2.9,32,512,3.49,8.707648248106914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,6049.0,5076.0,16.0,-973.0,6049.0,4298.0,29.0,-1751.0,6049.0,3598.0,41.0,-2451.0
17.3,2.9,16,256,3.42,8.062432791583195,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,3173.0,2066.0,35.0,-1107.0,3173.0,3244.0,2.0,71.0,3173.0,2179.0,31.0,-994.0
17.3,2.8,12,256,3.35,7.695757990554761,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2199.0,1709.0,22.0,-490.0,2199.0,1602.0,27.0,-597.0,2199.0,1871.0,15.0,-328.0
15.6,2.6,8,128,3.31,7.182352111885263,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1316.0,1367.0,4.0,51.0,1316.0,1481.0,13.0,165.0,1316.0,1287.0,2.0,-29.0
17.3,2.0,4,1000,3.3,6.489204931325317,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,658.0,521.0,21.0,-137.0,658.0,597.0,9.0,-61.0,658.0,569.0,14.0,-89.0
15.6,2.8,16,256,3.21,8.023552392404348,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3052.0,2331.0,24.0,-721.0,3052.0,1906.0,38.0,-1146.0,3052.0,2234.0,27.0,-818.0
15.6,2.6,16,256,3.21,7.2875606403097235,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1462.0,2203.0,51.0,741.0,1462.0,1862.0,27.0,400.0,1462.0,2158.0,48.0,696.0
17.3,3.0,16,256,3.2,7.440733707389261,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1704.0,1095.0,36.0,-609.0,1704.0,2682.0,57.0,978.0,1704.0,2207.0,30.0,503.0
17.3,2.6,8,1000,3.0,8.067462667010057,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3189.0,1099.0,66.0,-2090.0,3189.0,1129.0,65.0,-2060.0,3189.0,948.0,70.0,-2241.0
17.3,2.8,16,256,3.0,7.4673710669175595,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1750.0,1837.0,5.0,87.0,1750.0,1790.0,2.0,40.0,1750.0,1899.0,9.0,149.0
17.3,2.8,8,1000,3.0,7.174724309836376,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1306.0,941.0,28.0,-365.0,1306.0,1372.0,5.0,66.0,1306.0,892.0,32.0,-414.0
17.3,2.8,8,1000,3.0,7.04141166379481,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1143.0,941.0,18.0,-202.0,1143.0,1372.0,20.0,229.0,1143.0,892.0,22.0,-251.0
15.6,1.8,8,256,3.0,6.952728644624869,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1046.0,868.0,17.0,-178.0,1046.0,1044.0,0.0,-2.0,1046.0,921.0,12.0,-125.0
17.3,2.5,8,128,3.0,6.939253946041508,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1032.0,1158.0,12.0,126.0,1032.0,1667.0,62.0,635.0,1032.0,1379.0,34.0,347.0
17.3,1.6,4,256,3.0,6.786716950605081,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,886.0,608.0,31.0,-278.0,886.0,682.0,23.0,-204.0,886.0,566.0,36.0,-320.0
17.3,2.3,8,1000,3.0,6.586171654854675,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,725.0,674.0,7.0,-51.0,725.0,653.0,10.0,-72.0,725.0,721.0,1.0,-4.0
17.3,2.7,4,1000,3.0,6.580639137284949,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,721.0,630.0,13.0,-91.0,721.0,723.0,0.0,2.0,721.0,642.0,11.0,-79.0
15.6,2.8,16,256,2.94,7.822044008185619,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2495.0,2322.0,7.0,-173.0,2495.0,2123.0,15.0,-372.0,2495.0,2153.0,14.0,-342.0
17.3,2.8,16,256,2.9,7.755338812846501,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2334.0,1833.0,21.0,-501.0,2334.0,2126.0,9.0,-208.0,2334.0,1858.0,20.0,-476.0
17.3,2.8,16,256,2.9,7.344719054149673,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1548.0,1833.0,18.0,285.0,1548.0,2126.0,37.0,578.0,1548.0,1858.0,20.0,310.0
17.3,2.7,8,1000,2.83,6.858565034791365,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,952.0,654.0,31.0,-298.0,952.0,1002.0,5.0,50.0,952.0,714.0,25.0,-238.0
17.3,1.8,16,256,2.8,7.336936913707618,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1536.0,1261.0,18.0,-275.0,1536.0,1370.0,11.0,-166.0,1536.0,1287.0,16.0,-249.0
