concat,Product,Cpu_Full,Memory_Full,Gpu_Full
6709Windows 10Intel3217.3Nvidia GeForce GTX 1080,Blade Pro,Intel Core i7 7820HK 2.9GHz,1TB SSD,Nvidia GeForce GTX 1080
6049Windows 10Intel3217.3Nvidia GeForce GTX 1080,Blade Pro,Intel Core i7 7820HK 2.9GHz,512GB SSD,Nvidia GeForce GTX 1080
5389Windows 10Intel3215.6Nvidia Quadro M2200M,Thinkpad P51,Intel Xeon E3-1535M v6 3.1GHz,1TB SSD,Nvidia Quadro M2200M
4828Windows 7Intel1617.3Nvidia Quadro M2000M,Zbook 17,Intel Xeon E3-1535M v5 2.9GHz,256GB SSD,Nvidia Quadro M2000M
4373Windows 10Intel6417.3Nvidia GeForce GTX 980 ,ROG G701VO,Intel Core i7 6820HK 2.7GHz,1TB SSD,Nvidia GeForce GTX 980 
4344Windows 7Intel817.3Nvidia Quadro M3000M,ZBook 17,Intel Core i7 6700HQ 2.6GHz,256GB SSD,Nvidia Quadro M3000M
4279Windows 10Intel3217.3Nvidia GeForce GTX 1080,ROG G703VI-E5062T,Intel Core i7 7820HK 2.9GHz,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1080
4025Windows 10Intel3217.3Nvidia GeForce GTX 1070,Alienware 17,Intel Core i7 7700HQ 2.8GHz,1TB SSD +  1TB HDD,Nvidia GeForce GTX 1070
3948Windows 10Intel3217.3Nvidia GeForce GTX 1070M,Alienware 17,Intel Core i7 7700HQ 2.8GHz,1TB SSD +  1TB HDD,Nvidia GeForce GTX 1070M
3849Windows 10Intel1614Nvidia GeForce GTX 1060,Blade Pro,Intel Core i7 7700HQ 2.8GHz,1TB SSD,Nvidia GeForce GTX 1060
3629Windows 10Intel1615.6Nvidia Quadro M520M,Thinkpad P51s,Intel Core i7 7600U 2.8GHz,1TB SSD,Nvidia Quadro M520M
3564Windows 10Intel3217.3Nvidia GeForce GTX 980M,IdeaPad Y900-17ISK,Intel Core i7 6820HK 2.7GHz,512GB SSD +  1.0TB Hybrid,Nvidia GeForce GTX 980M
3469Windows 10Intel1617.3Nvidia GeForce GTX 1070,Alienware 17,Intel Core i7 7700HQ 2.8GHz,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1070
3464Windows 10Intel3217.3Nvidia GeForce GTX 1070,Alienware 17,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070
3462Windows 10Intel3217.3Nvidia GeForce GTX 1070,Alienware 17,Intel Core i7 7700HQ 2.8GHz,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1070
3410Windows 10Intel812.5Intel HD Graphics 515,Elitebook Folio,Intel Core M 6Y75 1.2GHz,240GB SSD,Intel HD Graphics 515
3380Windows 10Intel3217.3Nvidia GeForce GTX 1070,Alienware 17,Intel Core i7 7700HQ 2.8GHz,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1070
3361Windows 10Intel1615.6Nvidia Quadro M1200,Precision 7520,Intel Xeon E3-1505M V6 3GHz,256GB SSD +  1TB HDD,Nvidia Quadro M1200
3314Windows 10Intel1617.3Nvidia GeForce GTX 1070,Alienware 17,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1070
3299Windows 10Intel1617.3Nvidia GeForce GTX 1080,Rog G701VIK-BA060T,Intel Core i7 7820HK 2.9GHz,256GB SSD,Nvidia GeForce GTX 1080
3299Windows 10Intel817.3Nvidia Quadro M620M,Thinkpad P71,Intel Core i7 7700HQ 2.8GHz,256GB SSD,Nvidia Quadro M620M
3265Windows 10Intel2415.6Nvidia GeForce GTX1080,ROG Zephyrus,Intel Core i7 7700HQ 2.8GHz,512GB SSD,Nvidia GeForce GTX1080
3265Windows 7Intel1617.3Nvidia Quadro 3000M,ThinkPad P70,Intel Core i7 6820HQ 2.7GHz,512GB SSD,Nvidia Quadro 3000M
3189Windows 10Intel1614Nvidia GeForce GTX 1060,Blade Pro,Intel Core i7 7700HQ 2.8GHz,512GB SSD,Nvidia GeForce GTX 1060
3189Windows 7Intel817.3AMD FirePro W6150M,ZBook 17,Intel Core i7 6700HQ 2.6GHz,1TB HDD,AMD FirePro W6150M
3173Windows 10Intel1617.3Nvidia Quadro M1200,Precision 7720,Intel Core i7 7820HQ 2.9GHz,256GB SSD,Nvidia Quadro M1200
3156Windows 10Intel1615.6Nvidia GeForce GTX 1070,Alienware 17,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070
3144macOSIntel1615.4AMD Radeon Pro 560,MacBook Pro,Intel Core i7 2.9GHz,512GB SSD,AMD Radeon Pro 560
3106Windows 10Intel1614Intel HD Graphics 620,Thinkpad Yoga,Intel Core i7 7500U 2.7GHz,1TB SSD,Intel HD Graphics 620
3095Windows 10Intel1615.6Nvidia GeForce GTX 1070,Alienware 15,Intel Core i7 7820HK 2.9GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070
3080Windows 10Intel3217.3Nvidia GeForce GTX 1070,Alienware 17,Intel Core i7 6700HQ 2.6GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070
3079Windows 10Intel3218.4Nvidia GTX 980 SLI,GT80S 6QF-074US,Intel Core i7 6920HQ 2.9GHz,512GB SSD +  1TB HDD,Nvidia GTX 980 SLI
3079Windows 10Intel1617.3Nvidia GeForce GTX 1070,Alienware 17,Intel Core i7 7820HK 2.9GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070
3079Windows 10Intel3213.3Intel HD Graphics 620,Portege X30-D-10L,Intel Core i7 7500U 2.7GHz,512GB SSD,Intel HD Graphics 620
3079Windows 10Intel3217.3Nvidia GeForce GTX 1080,ROG G701VI,Intel Core i7 6820HK 2.7GHz,512GB SSD,Nvidia GeForce GTX 1080
3052Windows 10Intel1615.6Nvidia GeForce GTX 1070,Alienware 15,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070
3034Windows 10Intel1617.3Nvidia GeForce GTX 1080,Alienware 17,Intel Core i7 6820HK 2.7GHz,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1080
3025Windows 10Intel1617.3Nvidia GeForce GTX 980M,IdeaPad Y900-17ISK,Intel Core i7 6820HK 2.7GHz,256GB SSD +  1.0TB Hybrid,Nvidia GeForce GTX 980M
3002Windows 10Intel1617.3Nvidia GeForce GTX 1070,GT73VR Titan,Intel Core i7 7820HK 2.9GHz,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1070
2983Windows 10Intel815.6Nvidia Quadro M1200,Precision M5520,Intel Core i7 7700HQ 2.8GHz,256GB SSD,Nvidia Quadro M1200
2969Windows 10Intel1617.3Nvidia GeForce GTX 1070,Alienware 17,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070
2948Windows 10Intel1613.3Intel HD Graphics 620,XPS 13,Intel Core i7 7500U 2.7GHz,512GB SSD,Intel HD Graphics 620
2929Windows 10Intel3217.3Nvidia GeForce GTX 1070,IdeaPad Y910-17ISK,Intel Core i7 6820HK 2.7GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070
2914Windows 10Intel1617.3Nvidia GeForce GTX 1060,GS73VR Stealth,Intel Core i7 6700HQ 2.6GHz,512GB SSD +  2TB HDD,Nvidia GeForce GTX 1060
2903Windows 10Intel3215.6Nvidia GeForce GTX 1050,XPS 15,Intel Core i7 7700HQ 2.8GHz,1TB SSD,Nvidia GeForce GTX 1050
2888Windows 10Intel1614Intel HD Graphics 620,Thinkpad X1,Intel Core i7 7500U 2.7GHz,1TB SSD,Intel HD Graphics 620
2882Windows 7Intel1614Intel HD Graphics 520,ThinkPad X1,Intel Core i7 6600U 2.6GHz,256GB SSD,Intel HD Graphics 520
2859Windows 10Intel1614Nvidia GeForce GTX 1060,Blade Pro,Intel Core i7 7700HQ 2.8GHz,256GB SSD,Nvidia GeForce GTX 1060
2859Windows 10Intel1617.3Nvidia GeForce GTX 1070,Predator G9-793,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070
2849Windows 10Intel814Intel HD Graphics 620,ThinkPad X1,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620
2848Windows 10 SIntel1613.5Intel Iris Plus Graphics 640,Surface Laptop,Intel Core i7 7660U 2.5GHz,512GB SSD,Intel Iris Plus Graphics 640
2815Windows 10Intel813.3Intel HD Graphics 620,EliteBook x360,Intel Core i7 7600U 2.8GHz,256GB SSD,Intel HD Graphics 620
2791macOSIntel1615.4AMD Radeon Pro 455,MacBook Pro,Intel Core i7 2.7GHz,512GB SSD,AMD Radeon Pro 455
2760Windows 10Intel1614Intel HD Graphics 620,ThinkPad X1,Intel Core i7 7500U 2.7GHz,512GB SSD,Intel HD Graphics 620
2756Windows 10Intel1617.3Nvidia GeForce GTX 1060,Alienware 17,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060
2749Windows 10Intel1617.3Nvidia GeForce GTX 1070,GT73EVR 7RE,Intel Core i7 7700HQ 2.8GHz,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1070
2749Windows 10Intel1614Intel HD Graphics 520,ThinkPad X1,Intel Core i7 6600U 2.6GHz,512GB SSD,Intel HD Graphics 520
2749Windows 10Intel1613.3Intel UHD Graphics 620,XPS 13,Intel Core i7 8550U 1.8GHz,1TB SSD,Intel UHD Graphics 620
2749Windows 10Intel814Intel HD Graphics 620,Thinkpad X1,Intel Core i7 7500U 2.7GHz,512GB SSD,Intel HD Graphics 620
2749Windows 10Intel1617.3Nvidia GeForce GTX 1070,GT72VR Dominator,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070
2702Windows 10Intel1617.3Nvidia GeForce GTX 1060,Alienware 17,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060
2695Windows 10Intel1614Intel HD Graphics 620,ThinkPad X1,Intel Core i7 7500U 2.7GHz,512GB SSD,Intel HD Graphics 620
2694Windows 10Intel1617.3Nvidia GeForce GTX 1070,GS73VR 7RG,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070
2694Windows 10Intel1613.3Intel UHD Graphics 620,Spectre x360,Intel Core i7 8550U 1.8GHz,1TB SSD,Intel UHD Graphics 620
2694Windows 10Intel1615.6Nvidia Quadro M2200M,Thinkpad P51,Intel Core i7 7820HQ 2.9GHz,512GB SSD,Nvidia Quadro M2200M
2694Windows 10Intel1615.6Nvidia GeForce GTX 1070,Rog Strix,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070
2690Windows 10Intel1615.6Nvidia GeForce 940MX,Thinkpad T570,Intel Core i7 7600U 2.8GHz,512GB SSD,Nvidia GeForce 940MX
2684Windows 10Intel1614Intel HD Graphics 520,ThinkPad X1,Intel Core i7 6600U 2.6GHz,512GB SSD,Intel HD Graphics 520
2684macOSIntel1615.4AMD Radeon Pro 555,MacBook Pro,Intel Core i7 2.8GHz,256GB SSD,AMD Radeon Pro 555
2661Windows 10Intel1615.6Nvidia Quadro M2200,ZBook 15,Intel Core i7 7700HQ 2.8GHz,256GB SSD,Nvidia Quadro M2200
2661Windows 10Intel1617.3Nvidia GeForce GTX 1070,Rog GL702VS-BA023T,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070
2657Windows 10Intel1617.3Nvidia GeForce GTX 1070,GE72MVR 7RG,Intel Core i7 7700HQ 2.8GHz,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1070
2649Windows 10Intel815.6Nvidia Quadro M1200,Precision M5520,Intel Core i7 7700HQ 2.8GHz,256GB SSD,Nvidia Quadro M1200
2639Windows 10Intel1615.6Nvidia GeForce GTX 1050,XPS 15,Intel Core i7 7700HQ 2.8GHz,1TB SSD,Nvidia GeForce GTX 1050
2639Windows 10Intel1617.3Nvidia GeForce GTX 980M,GT72S Dominator,Intel Core i7 6820HQ 2.7GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 980M
2637Windows 10Intel1615.6Nvidia GeForce GTX 1050,XPS 15,Intel Core i7 7700HQ 2.8GHz,512GB SSD,Nvidia GeForce GTX 1050
2620Windows 10Intel2414Intel HD Graphics 620,ThinkPad T470s,Intel Core i7 7500U 2.7GHz,512GB SSD,Intel HD Graphics 620
2607Windows 7Intel1615.6Nvidia Quadro M2000M,Thinkpad P50,Intel Core i7 6820HQ 2.7GHz,512GB SSD,Nvidia Quadro M2000M
2585Windows 10Intel1617.3Nvidia GeForce GTX 1070,Rog G752VS-BA171T,Intel Core i7 6700HQ 2.6GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070
2584Windows 10Intel1617.3Nvidia GeForce GTX 980M,GT80S 6QE,Intel Core i7 6820HK 2.7GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 980M
2573Windows 10Intel814Intel HD Graphics 520,ThinkPad X1,Intel Core i7 6500U 2.5GHz,256GB SSD,Intel HD Graphics 520
2572Windows 10Intel1615.6Nvidia Quadro M620,Precision 3520,Intel Core i7 6820HQ 2.7GHz,512GB SSD,Nvidia Quadro M620
2563Windows 10Intel814Intel HD Graphics 620,ThinkPad X1,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
2558Windows 10Intel1615.6Nvidia GeForce GTX 1070,Rog GL502VS,Intel Core i7 6700HQ 2.6GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070
2529Windows 10Intel1615.6Nvidia GeForce GTX 1060,GS63VR 7RF,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1060
